CDALTC,DSALTC,QTALTC,TMESTP
-,corso animatori,300.00,20130114152321515
",magliette borghetto,10.00,20120625105250484
#,pasti borghetto,15.00,20130822083516656
$,etichette grotta,0.00,20111212164759755
%,lotterie borghetto,1.00,20130822083635265
*,quote aggregati,20.00,20140103112327647
",",aria condizionata,0.00,20130815100827119
.,costo pasto 6 ruote,7.00,20141117205021218
:,immagini,0.05,20130118093724593
;,cesti borghetto,30.00,20161126172028359
?,contrinuto diocesi,5.00,20120922141048390
@,sostenitore,15.00,20110125113113845
[,gita curtatone com.c,25.00,20141008171051250
\,pasto in più treno,15.00,20110528085058781
],family day,0.00,20120425194550953
^,q.a.+ pasto treno,30.00,20110528085927909
+,luino com.colori,30.00,20130829164543390
<,q.a + supp st.sauver,27.00,20110704161239066
£,offerte sede,0.00,20110225161246162
0,nessun costo,0.00,20080404225642629
1,fondi a dispsoiz c.c,0.00,20150210162142218
4,pasto treno + supp H,32.00,20110704162131945
5,maratona milano,0.00,20160204171214093
7,corso form.ne 25/4,50.00,20130422080456046
8,wek and borghetto,0.00,20130422102423906
9,salvadanaio borghett,0.00,20100411161240599
A,quota amici borghett,20.00,20080404225653715
B,ulivi,10.00,20121026091809968
C,off.varie borghetto,0.00,20110610102115813
D,ombrelli family day,10.00,20121026091421796
E,quota associativa,20.00,20140103085513983
F,impegno mensile,0.00,20080404225904377
G,brivio,0.00,20100917081714169
H,abb.charitas,15.00,20101216110333602
I,abb la grotta,15.00,20101216110356665
J,buone azioni,250.00,20080404225928329
K,corso clown luglio,75.00,20110622140504644
L,rientro focaccia,0.00,20130822084220937
M,catechesi,2.00,20121115165406870
O,ABITARE A DISTANZA,0.00,20111003110523343
Ò,libri reliquie berna,10.00,20121026091927718
Q,mattoni,50.00,20080404225947207
R,ROMA BIMBI OTTOBRE,0.00,20110622140702130
S,a dispos.gruppo,0.00,20111002175125600
T,abitare a distanza,0.00,20111003110334576
Ù,off.per Chernobyl,0.00,20110201083801761
V,"sott,ni per borghett",0.00,20100924153902484
W,promo lenticchie,0.00,20080404230001573
X,sostenitore,15.00,20110224155326849
Y,spettacoli borghetto,0.00,20080404230012800
Z,varie borghetto,0.00,20080404230021591
