CDLUOGO,CDCATALB,TIMESTP
1,01,19990625163322010
1,02,19990625163331020
1,03,19990625163505430
1,04,19990625163511920
1,05,19990625163516750
1,06,19990625163525700
1,07,19990625163531300
1,08,19990625163538220
1,09,19990625163543280
1,10,19990625163547400
1,11,19990625163552940
1,12,19990625163558770
1,15,20000504101734550
1,23,19990625163604370
1,62,20040312173242655
1,70,20040519104608378
1,99,19990625163704400
2,06,20040331100023015
2,50,19990625163615410
2,51,19990625163624530
2,54,19990625163634410
2,55,19990625163644570
2,56,19990625163654900
2,99,19990901103202640
3,61,19990917093210020
4,41,19990625163717260
4,42,19990625163723850
4,43,19990625163730330
4,44,19990625163737520
4,45,19990625163745760
4,47,20050728110038036
4,48,20050728110041181
6,06,20000720095400210
6,61,19991104135713530
8,06,19991104110608730
