CDLINGUA,DSLINGUA,TIMESTP
01,INGLESE,12345678901234567
02,FRANCESE,12345678901234567
03,TEDESCO,12345678901234567
04,SPAGNOLO,12345678901234567
05,ING/FRAN/TED/SPAN,12345678901234567
06,INGLESE/FRANCESE/TEDESCO,12345678901234567
07,INGLESE/FRANCESE/SPAGNOLO,12345678901234567
08,INGLESE/TEDESCO/SPAGNOLO,12345678901234567
09,INGLESE/FRANCESE,12345678901234567
11,INGLESE/SPAGNOLO,12345678901234567
12,FRANCESE/SPAGNOLO/TEDESCO,12345678901234567
13,FRANCESE/SPAGNOLO,12345678901234567
14,FRANCESE/TEDESCO,12345678901234567
15,TEDESCO/SPAGNOLO,12345678901234567
99,NESSUNA,20020228150227329
